City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
1,1,Korla,CN,41.7597,86.1469,83.97,11,100,7.31,overcast clouds,09-18-2022 08:51:07
3,3,Naze,JP,28.3667,129.4833,79.72,85,100,29.39,moderate rain,09-18-2022 08:51:07
4,4,Saint-Philippe,RE,-21.3585,55.7679,78.39,74,1,14.74,light rain,09-18-2022 08:51:08
6,6,Bengkulu,ID,-3.8004,102.2655,80.6,82,99,6.78,moderate rain,09-18-2022 08:51:09
12,12,Simga,IN,21.6333,81.7,89.83,54,100,1.95,overcast clouds,09-18-2022 08:51:11
18,18,Wanning,CN,18.8003,110.3967,86.14,63,83,6.22,broken clouds,09-18-2022 08:51:14
26,26,Jijiga,ET,9.35,42.8,77.92,43,56,8.48,broken clouds,09-18-2022 08:51:17
29,29,Butaritari,KI,3.0707,172.7902,82.26,77,7,13.31,light rain,09-18-2022 08:51:19
31,31,Port-Gentil,GA,-0.7193,8.7815,80.56,74,75,16.11,broken clouds,09-18-2022 08:51:19
36,36,Kutum,SD,14.2,24.6667,82.42,41,94,6.06,overcast clouds,09-18-2022 08:51:21
39,39,Wajir,KE,1.7471,40.0573,85.96,42,40,9.22,scattered clouds,09-18-2022 08:51:22
50,50,Katsuura,JP,35.1333,140.3,80.62,91,100,18.7,moderate rain,09-18-2022 08:51:27
51,51,Abu Samrah,SY,35.3029,37.1841,92.68,11,0,9.42,clear sky,09-18-2022 08:51:27
55,55,Port Moresby,PG,-9.4431,147.1797,85.42,74,20,8.05,haze,09-18-2022 08:51:28
56,56,Hithadhoo,MV,-0.6,73.0833,82.53,71,15,7.38,few clouds,09-18-2022 08:46:53
61,61,Yulara,AU,-25.2406,130.9889,76.62,17,0,4.99,clear sky,09-18-2022 08:51:31
62,62,Victoria,HK,22.2855,114.1577,93.25,81,85,7.0,light rain,09-18-2022 08:48:48
63,63,Lorengau,PG,-2.0226,147.2712,82.51,72,36,7.4,scattered clouds,09-18-2022 08:51:31
65,65,Damietta,EG,31.4165,31.8133,82.29,52,0,8.34,clear sky,09-18-2022 08:51:32
69,69,Atuona,PF,-9.8,-139.0333,76.55,77,15,23.29,light rain,09-18-2022 08:51:34
77,77,Faanui,PF,-16.4833,-151.75,78.46,68,0,18.01,clear sky,09-18-2022 08:51:37
87,87,San Patricio,US,28.017,-97.5169,84.88,75,1,6.89,clear sky,09-18-2022 08:51:41
93,93,Sola,VU,-13.8833,167.55,80.29,80,98,22.06,overcast clouds,09-18-2022 08:51:43
102,102,Carutapera,BR,-1.195,-46.02,77.29,82,16,7.0,few clouds,09-18-2022 08:51:46
105,105,Diamantino,BR,-14.4086,-56.4461,77.94,46,8,0.78,clear sky,09-18-2022 08:51:48
107,107,Isla Mujeres,MX,21.2311,-86.731,77.16,78,7,8.52,clear sky,09-18-2022 08:51:48
112,112,Hilo,US,19.7297,-155.09,77.29,100,100,5.99,moderate rain,09-18-2022 08:51:50
113,113,Balod,IN,20.73,81.2047,89.13,56,90,6.69,overcast clouds,09-18-2022 08:51:51
114,114,Adrar,MR,20.5022,-10.0711,80.8,32,51,14.88,broken clouds,09-18-2022 08:51:51
118,118,Manado,ID,1.487,124.8455,83.17,78,40,1.14,scattered clouds,09-18-2022 08:51:53
125,125,Souillac,MU,-20.5167,57.5167,77.38,65,40,21.85,light rain,09-18-2022 08:51:55
130,130,Basco,PH,20.4487,121.9702,83.79,77,100,19.1,overcast clouds,09-18-2022 08:51:57
131,131,Kapaa,US,22.0752,-159.319,79.12,84,20,5.75,few clouds,09-18-2022 08:51:58
135,135,La Romana,DO,18.4273,-68.9728,79.95,79,92,17.18,overcast clouds,09-18-2022 08:51:59
139,139,Atar,MR,20.5169,-13.0499,81.68,42,70,13.02,broken clouds,09-18-2022 08:52:01
142,142,Kinablangan,PH,7.6947,126.5503,82.71,82,99,11.86,overcast clouds,09-18-2022 08:52:02
145,145,Moranbah,AU,-22.0016,148.0466,80.69,40,4,9.31,clear sky,09-18-2022 08:52:03
146,146,Kabalo,CD,-6.05,26.9167,88.83,45,96,4.61,overcast clouds,09-18-2022 08:52:04
147,147,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,40,21.85,light rain,09-18-2022 08:52:04
148,148,Kralendijk,BQ,12.15,-68.2667,82.38,83,100,0.0,overcast clouds,09-18-2022 08:52:06
155,155,Guye,CN,39.7333,118.4167,78.69,36,0,5.26,clear sky,09-18-2022 08:52:09
156,156,Saint-Joseph,RE,-21.3667,55.6167,77.38,71,11,12.62,few clouds,09-18-2022 08:52:09
158,158,Faya,SA,18.3851,42.4509,84.31,30,61,3.71,broken clouds,09-18-2022 08:52:11
159,159,Arlit,NE,18.7369,7.3853,91.44,36,94,7.63,overcast clouds,09-18-2022 08:52:11
163,163,Mount Isa,AU,-20.7333,139.5,87.57,18,2,5.75,clear sky,09-18-2022 08:50:39
165,165,Sur,OM,22.5667,59.5289,89.04,60,0,4.81,clear sky,09-18-2022 08:52:13
166,166,Gat,IL,31.61,34.7642,86.4,100,0,10.49,clear sky,09-18-2022 08:52:14
169,169,Mahibadhoo,MV,3.7833,72.9667,81.82,69,81,5.46,broken clouds,09-18-2022 08:52:15
177,177,Dong Hoi,VN,17.4833,106.6,85.91,71,87,3.96,overcast clouds,09-18-2022 08:52:18
186,186,Alice Springs,AU,-23.7,133.8833,81.95,17,1,12.66,clear sky,09-18-2022 08:52:23
192,192,Quatre Cocos,MU,-20.2078,57.7625,77.11,73,34,16.6,light rain,09-18-2022 08:52:25
194,194,Gucheng,CN,35.9115,111.3192,85.87,35,56,6.78,broken clouds,09-18-2022 08:52:26
196,196,Taoudenni,ML,22.6783,-3.9836,93.24,18,18,9.28,few clouds,09-18-2022 08:52:27
200,200,Zemio,CF,5.0314,25.1361,80.22,71,100,3.69,light rain,09-18-2022 08:52:29
201,201,Ushtobe,KZ,45.2514,77.9838,78.85,11,15,10.94,few clouds,09-18-2022 08:52:29
207,207,Wad Rawah,SD,15.1603,33.1397,93.25,36,30,6.06,scattered clouds,09-18-2022 08:52:31
208,208,Sol-Iletsk,RU,51.1631,54.9918,75.16,40,79,11.68,broken clouds,09-18-2022 08:52:32
209,209,Wuwei,CN,37.9281,102.6414,78.21,39,24,2.66,few clouds,09-18-2022 08:52:32
210,210,Samarai,PG,-10.6167,150.6667,82.09,80,37,11.41,scattered clouds,09-18-2022 08:52:32
211,211,Vanimo,PG,-2.6741,141.3028,80.55,79,4,7.52,clear sky,09-18-2022 08:52:33
215,215,Sarangani,PH,5.4033,125.4636,84.85,69,94,6.49,overcast clouds,09-18-2022 08:52:34
217,217,Georgetown,MY,5.4112,100.3354,86.9,77,40,8.05,scattered clouds,09-18-2022 08:52:06
224,224,Honiara,SB,-9.4333,159.95,77.74,88,100,9.22,overcast clouds,09-18-2022 08:52:38
