City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Concepcion,CL,-36.827,-73.0498,35.4,100,0,5.75,clear sky,09-18-2022 12:20:16
1,Barrow,US,71.2906,-156.7887,32.02,93,100,21.85,fog,09-18-2022 12:20:39
2,Rikitea,PF,-23.1203,-134.9692,71.37,64,38,17.92,scattered clouds,09-18-2022 12:20:40
3,Hirara,JP,24.8,125.2833,80.78,78,38,21.74,scattered clouds,09-18-2022 12:20:40
4,Atuona,PF,-9.8,-139.0333,76.28,77,19,23.94,light rain,09-18-2022 12:20:41
5,Chokurdakh,RU,70.6333,147.9167,34.57,68,92,5.59,overcast clouds,09-18-2022 12:20:41
6,Port Alfred,ZA,-33.5906,26.891,62.19,86,100,5.01,overcast clouds,09-18-2022 12:20:41
7,Hilo,US,19.7297,-155.09,78.28,89,100,8.05,overcast clouds,09-18-2022 12:20:42
8,Mnogovershinnyy,RU,53.9353,139.9242,46.96,97,99,5.01,overcast clouds,09-18-2022 12:20:42
9,Domna,RU,51.8971,113.1573,50.16,31,20,11.18,few clouds,09-18-2022 12:20:42
10,Flinders,AU,-34.5833,150.8552,60.19,60,8,4.0,clear sky,09-18-2022 12:20:43
11,Hobart,AU,-42.8794,147.3294,51.66,81,75,8.05,broken clouds,09-18-2022 12:20:43
12,Mar Del Plata,AR,-38.0023,-57.5575,56.95,93,100,11.99,overcast clouds,09-18-2022 12:20:44
13,Saskylakh,RU,71.9167,114.0833,28.85,90,63,6.98,broken clouds,09-18-2022 12:20:44
14,Mataura,NZ,-46.1927,168.8643,46.47,95,98,4.07,overcast clouds,09-18-2022 12:20:44
15,Faanui,PF,-16.4833,-151.75,78.01,73,2,18.77,clear sky,09-18-2022 12:20:45
16,Yellowknife,CA,62.456,-114.3525,45.12,100,75,10.36,mist,09-18-2022 12:16:04
17,Elko,US,41.0002,-115.5012,50.65,69,70,1.01,broken clouds,09-18-2022 12:20:45
18,Ndele,CF,8.4109,20.6473,71.17,95,100,2.62,light rain,09-18-2022 12:20:46
19,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,94.23,28,13,5.77,few clouds,09-18-2022 12:20:44
20,Mahebourg,MU,-20.4081,57.7,73.69,64,75,16.11,broken clouds,09-18-2022 12:20:46
21,West Bay,KY,19.3667,-81.4167,84.27,81,20,4.61,few clouds,09-18-2022 12:20:46
22,Ilulissat,GL,69.2167,-51.1,42.82,93,100,9.22,light rain,09-18-2022 12:20:47
23,Ponta Delgada,PT,37.7333,-25.6667,80.51,78,20,5.75,few clouds,09-18-2022 12:18:54
24,Qaanaaq,GL,77.484,-69.3632,23.18,55,0,7.65,clear sky,09-18-2022 12:20:47
25,Thompson,CA,55.7435,-97.8558,51.96,100,100,5.75,mist,09-18-2022 12:20:48
26,Esperance,AU,-33.8667,121.9,54.59,87,59,5.99,broken clouds,09-18-2022 12:20:48
27,Fortuna,US,40.5982,-124.1573,55.92,91,100,4.72,moderate rain,09-18-2022 12:20:49
28,Noumea,NC,-22.2763,166.4572,67.98,84,25,8.01,scattered clouds,09-18-2022 12:20:49
29,Tsybli,UA,49.9948,31.5628,61.48,90,97,15.82,light rain,09-18-2022 12:20:49
30,Airai,TL,-8.9266,125.4092,61.74,71,90,1.74,overcast clouds,09-18-2022 12:20:50
31,East London,ZA,-33.0153,27.9116,63.54,88,100,12.66,overcast clouds,09-18-2022 12:20:50
32,Bredasdorp,ZA,-34.5322,20.0403,58.86,64,89,14.65,light rain,09-18-2022 12:20:51
