City_ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date
0,Provideniya,RU,44.26,64.3833,-173.3,93,100,9.57,2022-09-18 01:56:27
1,Punta Arenas,CL,39.31,-53.15,-70.9167,70,20,23.02,2022-09-18 01:56:27
2,Khatanga,RU,29.77,71.9667,102.5,76,21,4.36,2022-09-18 01:56:28
3,Longyearbyen,SJ,30.04,78.2186,15.6401,80,75,11.5,2022-09-18 01:56:28
4,Jumla,NP,60.87,29.2747,82.1838,91,100,1.86,2022-09-18 01:56:28
5,Castro,BR,47.97,-24.7911,-50.0119,88,43,14.81,2022-09-18 01:56:29
6,Nanortalik,GL,45.21,60.1432,-45.2371,81,100,4.21,2022-09-18 01:56:29
7,Constitucion,CL,46.06,-35.3333,-72.4167,81,93,5.23,2022-09-18 01:56:29
8,Rikitea,PF,71.89,-23.1203,-134.9692,77,21,23.17,2022-09-18 01:56:30
9,Severo-Kurilsk,RU,52.99,50.6789,156.125,66,87,4.18,2022-09-18 01:56:30
10,Dikson,RU,30.56,73.5069,80.5464,78,19,17.31,2022-09-18 01:56:31
11,Namibe,AO,65.21,-15.1961,12.1522,89,62,4.36,2022-09-18 01:56:31
12,Kapaa,US,83.12,22.0752,-159.319,73,81,5.01,2022-09-18 01:56:31
13,Port Alfred,ZA,58.17,-33.5906,26.891,96,100,4.0,2022-09-18 01:56:32
14,Hambantota,LK,77.34,6.1241,81.1185,100,0,6.91,2022-09-18 01:56:32
15,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,95,40,1.01,2022-09-18 01:56:33
16,Ushuaia,AR,38.86,-54.8,-68.3,81,40,21.85,2022-09-18 01:56:33
17,Barrow,US,33.82,71.2906,-156.7887,100,100,19.57,2022-09-18 01:56:33
18,Kangaatsiaq,GL,40.68,68.3065,-53.4641,80,94,4.36,2022-09-18 01:56:34
19,Albany,US,63.73,42.6001,-73.9662,85,49,3.65,2022-09-18 01:56:34
20,Busselton,AU,58.01,-33.65,115.3333,71,93,1.23,2022-09-18 01:56:35
21,Carnarvon,AU,68.38,-24.8667,113.6333,66,2,19.51,2022-09-18 01:56:35
22,Vaini,TO,75.36,-21.2,-175.2,83,75,13.8,2022-09-18 01:56:35
23,Torbay,CA,54.57,47.6666,-52.7314,79,100,13.8,2022-09-18 01:56:36
24,Hilo,US,86.29,19.7297,-155.09,82,6,4.0,2022-09-18 01:56:37
25,Lebu,CL,45.57,-37.6167,-73.65,65,89,6.24,2022-09-18 01:56:37
26,Upernavik,GL,35.64,72.7868,-56.1549,70,100,15.17,2022-09-18 01:56:37
27,Bluff,NZ,54.09,-46.6,168.3333,61,87,8.95,2022-09-18 01:56:38
28,Hay River,CA,53.58,60.8156,-115.7999,76,40,5.75,2022-09-18 01:56:38
29,Saint-Philippe,RE,65.79,-21.3585,55.7679,80,42,13.71,2022-09-18 01:56:38
30,Margate,GB,53.69,51.3813,1.3862,73,71,3.0,2022-09-18 01:56:39
31,Norman Wells,CA,60.84,65.282,-126.8329,39,75,2.3,2022-09-18 01:56:39
32,Mahibadhoo,MV,80.87,3.7833,72.9667,71,66,4.47,2022-09-18 01:56:40
